bsi,ndvi
-0.16016,0.54966
-0.21722,0.64261
0.0038,0.26405
-0.16851,0.56408
-0.12681,0.49263
-0.24072,0.61646
-0.3042,0.66086
-0.10783,0.5025
-0.25795,0.61954
0.01605,0.32264
-0.14827,0.54836
0.02934,0.16957
0.02583,0.13254
-0.16357,0.57316
-0.18086,0.6017
0.10921,0.08602
-0.06499,0.37622
-0.32959,0.69152
-0.14175,0.55536
0.002,0.26819
-0.14579,0.54421
0.1707,0.21034
0.10242,0.11339
-0.34767,0.64127
0.01747,0.31009
-0.24852,0.57813
0.13312,0.0775
-0.20494,0.57577
-0.07213,0.39259
-0.33489,0.67781
-0.18216,0.56037
-0.24931,0.65446
-0.20097,0.52033
-0.20344,0.59943
-0.24284,0.55291
0.01662,0.07457
0.11251,0.0946
-0.06298,0.36503
0.04176,0.30176
-0.27266,0.62694
-0.37186,0.646
-0.33914,0.68023
-0.0081,0.25839
-0.27203,0.63473
0.05947,0.03529
-0.1959,0.49327
0.04467,0.04937
-0.26001,0.62053
-0.18036,0.56791
-0.26772,0.65614
0.05246,0.15508
-0.24089,0.62324
-0.25235,0.64229
-0.31172,0.69
-0.18618,0.56861
-0.20784,0.56655
-0.29931,0.68002
-0.11367,0.42803
0.13108,0.026
0.0795,0.10015
-0.30735,0.67424
-0.2156,0.61764
-0.14094,0.46215
-0.14817,0.56707
0.09878,0.0902
-0.16847,0.54057
-0.23136,0.62254
-0.13644,0.52007
-0.09545,0.51824
-0.09049,0.18671
-0.2243,0.59799
-0.21303,0.59883
-0.28493,0.65368
-0.02058,0.0438
-0.18142,0.59722
-0.27157,0.58677
-0.18254,0.5882
-0.00326,0.25966
0.00211,0.34825
-0.03939,0.51747
-0.27387,0.58541
-0.04126,0.33247
-0.29209,0.63155
-0.20626,0.61564
-0.17484,0.55242
-0.15054,0.53313
-0.26886,0.64595
-0.29994,0.67736
-0.20841,0.60418
-0.03676,0.42798
-0.07827,0.43569
-0.30172,0.61843
-0.16266,0.53933
-0.28352,0.66264
-0.32774,0.68289
-0.16887,0.52333
-0.23428,0.60157
-0.12875,0.49752
-0.18991,0.62158
-0.2641,0.64856
-0.20853,0.55068
-0.28947,0.6171
-0.32705,0.67642
-0.22167,0.58456
0.10401,0.29427
0.05876,0.21906
-0.0671,0.39502
-0.21891,0.60033
-0.09292,0.42688
-0.22741,0.59592
-0.24036,0.63517
-0.31232,0.61812
-0.32135,0.68307
-0.16019,0.56014
-0.1551,0.50578
-0.0234,0.24085
-0.24268,0.59106
-0.10965,0.50072
-0.17422,0.51328
-0.20977,0.61087
-0.1066,0.54883
-0.1708,0.59988
-0.23696,0.62331
-0.32696,0.68098
-0.18584,0.55958
-0.26548,0.59696
-0.28684,0.6171
-0.17826,0.56203
-0.091,0.45311
-0.18301,0.55312
-0.33516,0.66714
-0.24099,0.63879
0.0297,0.21544
-0.22714,0.59822
-0.0684,0.38011
-0.18013,0.57699
-0.01597,0.20499
-0.15142,0.51595
-0.32731,0.68959
-0.09777,0.51005
-0.19474,0.56743
-0.28461,0.66023
-0.21851,0.6165
-0.24716,0.65286
-0.02231,0.27867
0.00918,0.03063
-0.20957,0.57971
-0.27236,0.64907
-0.17377,0.57208
-0.13303,0.50667
-0.01651,0.39603
-0.20155,0.57138
-0.13518,0.45021
0.11236,0.08523
-0.33394,0.67748
-0.17325,0.56517
-0.106,0.46046
-0.28809,0.63728
-0.26873,0.66927
-0.26996,0.65436
0.09285,0.09322
-0.02884,0.31746
-0.19019,0.59884
-0.18818,0.59553
-0.23146,0.56029
-0.01481,0.34187
-0.28536,0.60878
-0.10392,0.44573
0.01795,0.21063
-0.01645,0.16109
-0.19658,0.62655
-0.13034,0.57174
-0.39244,0.64091
0.01743,0.09212
-0.11658,0.48288
-0.1176,0.52995
-0.30023,0.63665
0.02084,0.42185
-0.21997,0.59927
-0.12151,0.46031
-0.19514,0.56477
-0.19949,0.58219
-0.27543,0.6592
-0.10108,0.47657
-0.16535,0.55767
-0.26823,0.64407
-0.16282,0.54056
0.09455,0.18407
-0.21036,0.62
0.0614,0.16655
-0.4115,0.6555
-0.11777,0.48122
-0.28036,0.61716
0.00576,0.35082
-0.20735,0.58741
-0.32676,0.69083
0.05444,0.11125
-0.28237,0.56495
-0.30363,0.67734
-0.21573,0.58312
-0.31526,0.65797
-0.22504,0.59202
0.03893,0.04129
-0.30754,0.68808
-0.18167,0.55768
-0.32277,0.7
-0.05283,0.51107
-0.29285,0.60593
0.07128,0.20161
-0.1726,0.55623
-0.07235,0.37515
0.07482,0.11381
-0.20032,0.59792
-0.25725,0.62309
-0.08998,0.48016
-0.31146,0.66278
-0.1202,0.49209
-0.17613,0.48249
0.05963,0.11639
0.00266,0.26194
-0.16002,0.55022
-0.17448,0.54363
-0.16824,0.52785
0.08915,0.07767
-0.16578,0.51455
-0.09434,0.44469
-0.11865,0.47367
0.05403,0.15663
0.08223,0.05363
-0.31771,0.63636
-0.00037,0.26287
-0.2177,0.60165
0.01454,0.19434
-0.28257,0.60857
-0.02925,0.28616
-0.20961,0.59279
-0.22479,0.57396
0.06002,0.15723
-0.29986,0.67029
-0.19678,0.53576
-0.18088,0.56311
-0.07276,0.36907
0.00897,0.33344
-0.393,0.63657
-0.26874,0.65315
-0.11781,0.50954
-0.10612,0.48959
-0.09784,0.43598
0.0619,0.10175
-0.20297,0.56446
-0.3568,0.65456
0.05381,0.19292
-0.22989,0.61992
0.044,0.13903
-0.17396,0.54176
-0.22996,0.576
-0.18976,0.56968
-0.2416,0.63831
-0.3035,0.68152
-0.23065,0.6342
-0.2208,0.59867
-0.27599,0.639
-0.22375,0.61851
-0.11786,0.50845
-0.17723,0.55385
-0.07438,0.4201
-0.18436,0.57561
-0.01534,0.37665
-0.21213,0.61276
-0.15086,0.52639
0.05239,0.19532
-0.18438,0.55045
-0.31415,0.67338
-0.26879,0.64053
-0.25183,0.59802
0.07445,0.1395
-0.28441,0.59199
-0.19283,0.60385
-0.38282,0.6534
-0.05242,0.39706
-0.28267,0.63916
-0.11383,0.47279
-0.08319,0.47572
-0.27091,0.60386
-0.10719,0.48968
-0.2446,0.64858
-0.22307,0.62453
0.00985,0.20576
0.02468,0.22359
-0.19637,0.59774
-0.15805,0.53236
-0.01445,0.33042
-0.20246,0.56777
-0.26624,0.65158
-0.29355,0.68397
-0.18452,0.55955
-0.16595,0.58485
-0.33739,0.70059
-0.28039,0.65794
-0.22021,0.58132
-0.22748,0.55967
-0.22286,0.59582
-0.24987,0.62578
-0.24808,0.62722
0.03888,0.17537
0.04827,0.19061
-0.25803,0.6157
-0.02097,0.28889
-0.14852,0.54229
-0.12723,0.54186
-0.12357,0.55061
0.07316,0.23461
-0.04197,0.42171
-0.21674,0.62382
-0.23768,0.5634
-0.32104,0.65849
0.02938,0.19416
-0.18205,0.49625
-0.27805,0.60039
-0.04245,0.40131
-0.22821,0.60684
-0.2574,0.63114
-0.03015,0.4294
-0.06334,0.44216
-0.23552,0.62332
-0.23398,0.63587
-0.07548,0.41829
-0.30499,0.6755
-0.12908,0.53931
-0.10386,0.45273
-0.31592,0.68783
-0.18173,0.58047
-0.11862,0.54896
-0.1019,0.44627
-0.18249,0.56446
-0.08501,0.50111
-0.27592,0.64926
-0.07548,0.36244
-0.33799,0.70119
-0.17177,0.54881
-0.20803,0.56345
-0.34855,0.70767
-0.29898,0.5957
-0.09047,0.38741
-0.17872,0.57082
-0.03914,0.32243
0.136,0.11904
-0.13065,0.5575
-0.17911,0.54275
-0.20258,0.59085
-0.17381,0.58881
-0.23433,0.56413
-0.28008,0.64484
-0.03241,0.33703
-0.04641,0.36723
-0.2597,0.61738
-0.28278,0.6342
-0.22504,0.62816
-0.14947,0.50148
-0.25517,0.58248
-0.0356,-0.00636
-0.16372,0.55562
-0.26651,0.59264
-0.27329,0.62957
-0.31572,0.67843
-0.08915,0.43884
-0.38126,0.62586
-0.29039,0.62397
0.03626,0.1831
-0.26315,0.60645
-0.24941,0.61905
-0.22369,0.59155
-0.26511,0.60954
-0.22404,0.6295
-0.23973,0.60356
-0.02483,0.33362
0.04617,0.12392
0.10712,0.09452
-0.01802,0.37827
-0.25327,0.60809
0.02027,0.34102
-0.27783,0.65528
-0.18216,0.54588
-0.13161,0.47395
-0.16705,0.53744
-0.27657,0.58331
-0.24216,0.63931
-0.16965,0.55163
-0.25884,0.65297
-0.27734,0.60191
0.04125,0.19016
0.02941,0.06426
-0.26415,0.64217
-0.0739,0.30417
-0.02812,0.36889
-0.1643,0.49673
-0.23064,0.61882
-0.33704,0.66706
-0.23565,0.60295
0.02075,0.21928
0.03674,0.14357
-0.17894,0.49548
-0.29936,0.61092
-0.15958,0.53797
0.04115,0.08594
-0.03699,0.34464
-0.29091,0.61909
-0.2734,0.649
-0.11693,0.56264
-0.10514,0.42517
-0.30024,0.59758
-0.26937,0.64057
-0.16863,0.57464
-0.30146,0.64237
