site_reference,hectares,bsi,ndvi,passes_bsi,passes_ndvi,passes_gate
44864,1.74,0.0253,0.17663,False,True,False
48119,1.51,0.00557,0.18855,False,True,False
51283,0.47,-0.02048,0.36641,False,False,False
51841,2.36,0.01047,0.26792,False,False,False
52839,8.75,-0.04478,0.37247,False,False,False
53087,0.07,-0.00378,0.21893,False,False,False
53237,3.9,0.02089,0.18985,False,True,False
53413,13.5,-0.03427,0.28294,False,False,False
53931,1.86,-0.01523,0.25097,False,False,False
54289,0.72,0.02233,0.17937,False,True,False
55181,0.13,0.03458,0.16291,False,True,False
55286,11.77,-0.07195,0.34602,False,False,False
55314,1.28,-0.00866,0.26328,False,False,False
55621,0.06,0.04306,0.12235,False,True,False
55692,0.33,0.02297,0.17983,False,True,False
55794,0.47,-0.13888,0.50465,False,False,False
55902,0.11,0.00831,0.15714,False,True,False
56109,0.31,-0.01199,0.23926,False,False,False
56426,1.3,-0.01801,0.2893,False,False,False
56463,0.07,0.05375,0.11471,False,True,False
56478,0.25,-0.10792,0.44251,False,False,False
56575,0.06,0.01086,0.22238,False,False,False
56734,0.04,0.06439,0.11411,False,True,False
56786,0.09,0.02683,0.22192,False,False,False
56801,0.62,-0.17999,0.55224,False,False,False
56967,0.91,-0.02575,0.3483,False,False,False
57407,0.22,0.01294,0.25662,False,False,False
57618,0.09,-0.06313,0.34782,False,False,False
57805,0.05,0.04168,0.14803,False,True,False
57831,0.36,0.01661,0.18357,False,True,False
57932,0.14,0.02287,0.19098,False,True,False
57947,0.32,0.01686,0.17767,False,True,False
57972,0.02,0.03291,0.11339,False,True,False
58037,0.22,-0.02144,0.30501,False,False,False
58175,0.18,-0.10206,0.42112,False,False,False
58312,0.12,0.03458,0.16291,False,True,False
58335,0.94,-0.0045,0.22346,False,False,False
58354,0.24,-0.04146,0.34013,False,False,False
58372,0.41,0.05384,0.1334,False,True,False
58468,0.12,-0.02086,0.28726,False,False,False
58571,0.24,0.02918,0.15027,False,True,False
58618,0.03,0.04914,0.10353,False,True,False
58658,0.05,-0.02507,0.26822,False,False,False
58660,0.36,0.00526,0.24934,False,False,False
58702,0.42,-0.00749,0.30864,False,False,False
58728,0.3,0.01731,0.25811,False,False,False
58748,0.42,-0.07004,0.34363,False,False,False
58830,0.21,0.0142,0.21442,False,False,False
58844,0.21,0.03623,0.08438,False,True,False
