site_reference,name_address,hectares,planning_status,lon,lat
53413,"Land at Trentham Lakes, Stanley Matthews Way, Stoke-on-Trent",13.5,permissioned,-2.1736259999999996,52.974248
55286,"Wedgwood Estate (Employment), Wedgwood Drive, Trentham, Stoke-on-Trent, ST12 9ER",11.77,permissioned,-2.167764,52.95508499999999
70427,"Staffordshire University, Land off Lordship Lane, Stoke-on-Trent, ST4 2YJ",9.4,permissioned,-2.1741689999999996,53.00632499999998
351,"Land between Huntilee Road and Scotia Road, Scotia Road, Tunstall",9.2,not-permissioned,-2.198761999999999,53.055079
172,"Edensor Technology School, Edensor Road, Longton",8.91,not-permissioned,-2.143378,52.985046
52839,"North Staffordshire Royal Infirmary, Princes Road, Hartshill, Stoke-on-Trent, ST4 7LN",8.75,not-permissioned,-2.199746,53.006356999999994
58877,"Former Bucknall Hospital site, Eaves Lane, Stoke-on-Trent, ST2 8LD",8.75,permissioned,-2.1355860000000004,53.028684
67351,"Mitchell High School, Bucknall, Stoke on Trent, ST2 9EY.",8.55,not-permissioned,-2.1297099999999993,53.021666
415,"Mitchell High School, Bucknall, Stoke on Trent, ST2 9EY.",8.55,pending-decision,-2.1297099999999993,53.021666
132,"Berry Hill High School and Sports College, Bucknall, Stoke on Trent, ST2 9LR",7.88,not-permissioned,-2.142574,53.014454
61254,"Former Victoria Ground, Off Boothen Old Road, Stoke-on-Trent",6.71,permissioned,-2.181703,52.998687999999994
436,"Hinde Street, Hanley",5.8,not-permissioned,-2.1791569999999996,53.019264
442,"Cobridge Road, Etruria",5.64,not-permissioned,-2.1818639999999996,53.0295
62103,"Former Century Oils Site, Century Street / York Street / Waterloo Road, Hanley, Stoke-on-Trent",5.48,not-permissioned,-2.1818639999999996,53.0295
555,"Canal Lane, Tunstall, Stoke-on-Trent, ST6 4PQ",5.37,not-permissioned,-2.212138000000001,53.05092799999999
0152,"Eastwood Road, Hanley",4.74,permissioned,-2.1698620000000006,53.019731
